New_ID,Age,Sex,Date,Province,District,Tehsil,Latitude,Longitude,Total,Urban,Rural,Accommodation,StagnantWater,RiceLost,RiceLostAcre,PulseLost,PulseLostAcre,CottonLost,CottonLostAcre,SugarLost,SugarLostAcre,MaizeLost,MaizeLostAcre,VegetablesLost,VegetablesLostAcre,FodderLost,FodderLostAcre,FisheryLost,FisherLostAcre,HoneyLost,HoneyLostAcre,FarmLost,FarmLostAcre,FruitLost,FruitLostAcre
945,29,Male,25082010,Punjab,Multan, Multan Distt. ,30.189166666667,71.457777777778,1802,4060,1704,,A lot,,,,,,,,,,,,,,,,,,,,,,
173,41,Male,28082010,Punjab,Rajanpur, Rojhan ,28.2375,69.939722222222,277,15,262,,A lot,,,,,,,,,,,,,,,,,,,,,,
419,,,28082010,Punjab,DG Khan, Taunsa ,,70.6425,486,53,433,,A lot,,,,,,,,,,,,,,,,,,,,,,
417,,Male,27082010,Punjab,DG Khan, Taunsa ,,70.6425,486,53,433,,A lot,,,,,,,,,,,,,,,,,,,,,,
418,,Male,27082010,Punjab,DG Khan, Taunsa ,,70.6425,486,53,433,,A lot,,,,,,,,,,,,,,,,,,,,,,
688,35,Male,27082010,Punjab,Muzaffargarh,Alipur,29.379444444444,70.905833333333,546,40,506,,A lot,,,,,,,,,,,,,,,,,,,,,,
390,,,28082010,Punjab,Rajanpur,Jampur,29.6375,70.594444444444,667,93,574,,A lot,,,,,,,,,,,,,,,,,,,,,,
691,45,Male,27082010,Punjab,Layyah,Layyah,30.960555555556,70.9425,804,143,661,,A lot,,,,,,,,,,,,,,,,,,,,,,
2058,47,Male,30082010,Sindh,Khair Pur,Sobho Dero,25.969722222222,68.9175,27868,,,,A lot,,,,,,,,,,,,,,,,,,,,,,
412,43,Male,27082010,Punjab,DG Khan, Taunsa ,,70.6425,486,53,433,,Few,,,,,,,,,,,,,,,,,,,,,,
1813,54,Male,1092007,Sindh,Shikar Pur,Khanpur,28.0025,68.722777777778,87243,,,,Few,,,,,,,,,,,,,,,,,,,,,,
1815,,,1092007,Sindh,Shikar Pur,Khanpur,28.0025,68.722777777778,87243,,,,Few,,,,,,,,,,,,,,,,,,,,,,
1816,,,1092007,Sindh,Shikar Pur,Khanpur,28.0025,68.722777777778,87243,,,,Few,,,,,,,,,,,,,,,,,,,,,,
1818,,,1092007,Sindh,Shikar Pur,Khanpur,28.0025,68.722777777778,87243,,,,Few,,,,,,,,,,,,,,,,,,,,,,
1821,,,1092007,Sindh,Shikar Pur,Khanpur,28.0025,68.722777777778,87243,,,,Few,,,,,,,,,,,,,,,,,,,,,,
1822,,,1092007,Sindh,Shikar Pur,Khanpur,28.0025,68.722777777778,87243,,,,Few,,,,,,,,,,,,,,,,,,,,,,
1824,,,1092007,Sindh,Shikar Pur,Khanpur,28.0025,68.722777777778,87243,,,,Few,,,,,,,,,,,,,,,,,,,,,,
2156,19,Male,29082010,Sindh,Larkana,Not in list,,,,,,,Few,,,,,,,,,,,,,,,,,,,,,,
2027,45,Male,29082010,Sindh,Shikar Pur,Not in list,,,,,,,Few,,,,,,,,,,,,,,,,,,,,,,
1888,40,Male,14112010,Sindh,Sukkur,Not in list,,,,,,,Few,,,,,,,,,,,,,,,,,,,,,,
1889,45,Male,6122010,Sindh,Sukkur,Not in list,,,,,,,Few,,,,,,,,,,,,,,,,,,,,,,
913,40,Male,26082010,Punjab,Muzaffargarh, Jatoi ,29.509166666667,,633,73,560,,None,,,,,,,,,,,,,,,,,,,,,,
2044,,,2092007,Sindh,Khair Pur,Not in list,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,
2201,28,Male,1032010,Sindh,Sukkur,Not in list,,,,,,,None,,,,,,,,,,,,,,,,,,,,,,
1764,60,Male,2012000,Sindh,Larkana,Not in list,,,,,,Camp,,None,None,None,None,51-75%,None,None,None,None,None,None,None,None,None,1-25%,None,None,None,None,26-50%,None,None
2258,35,Male,30082010,Sindh,Jamshoro,Not in list,25.413888888889,68.273333333333,,,,Camp,,None,None,None,None,76-100%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2286,40,Male,29092010,Sindh,Thatha,Not in list,,,,,,Camp,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2291,30,Male,30092010,Sindh,Thatha,Not in list,,,,,,Camp,,Not Aplicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,None,None
404,33,Male,28082010,Punjab,Rajanpur,Jampur,29.6375,70.594444444444,667,93,574,Camp,A lot,None,None,None,None,76-100%,None,,,,,,,,,,,,,,,,
653,40,Male,24082010,Punjab,Multan, Multan Distt. ,30.189166666667,71.457777777778,1802,4060,1704,Camp,A lot,None,Not applicable,Not applicable,Not applicable,None,Not applicable,None,Not applicable,76-100%,None,None,Not applicable,76-100%,None,None,Not applicable,None,Not applicable,26-50%,26-50%,1-25%,76-100%
845,35,Male,25082010,Punjab,Muzaffargarh,Kot Addu,30.459722222222,,1131,166,965,Camp,A lot,51-75%,"Don't know","Don't know","Don't know","Don't know","Don't know","Don't know","Don't know","Don't know","Don't know","Don't know","Don't know",76-100%,76-100%,"Don't know","Don't know","Don't know","Don't know","Don't know","Don't know","Don't know","Don't know"
843,63,Male,25082010,Punjab,Muzaffargarh,Kot Addu,30.459722222222,,1131,166,965,Camp,A lot,"Don't know","Don't know","Don't know","Don't know",26-50%,"Don't know",51-75%,"Don't know",51-75%,76-100%,26-50%,76-100%,76-100%,26-50%,"Don't know","Don't know","Don't know","Don't know","Don't know","Don't know","Don't know","Don't know"
2301,45,Male,29092010,Sindh,Thatha,Not in list,,,,,,Camp,A lot,51-75%,None,"Don't know",None,76-100%,76-100%,76-100%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2303,45,Male,29092010,Sindh,Thatha,Not in list,,,,,,Camp,A lot,51-75%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
423,43,Male,27082010,Punjab,DG Khan, Taunsa ,,70.6425,486,53,433,Camp,A lot,76-100%,26-50%,76-100%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
1768,47,Male,31082010,Sindh,Larkana,Not in list,,,,,,Camp,A lot,76-100%,76-100%,None,None,None,None,None,None,None,None,None,None,None,None,None,76-100%,None,None,None,None,None,None
420,45,Male,28082010,Punjab,DG Khan, Taunsa ,,70.6425,486,53,433,Camp,A lot,76-100%,76-100%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
422,38,Male,27082010,Punjab,DG Khan, Taunsa ,,70.6425,486,53,433,Camp,A lot,76-100%,None,None,None,76-100%,76-100%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
131,74,Male,28082010,Punjab,R Y Khan, R.Y.Khan  ,28.416388888889,70.299722222222,1346,374,972,Camp,A lot,76-100%,None,None,None,76-100%,None,None,None,76-100%,None,None,None,None,None,None,None,None,None,None,None,None,None
403,65,Male,28082010,Punjab,Rajanpur,Jampur,29.6375,70.594444444444,667,93,574,Camp,A lot,76-100%,None,None,None,76-100%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
137,55,Male,28082010,Punjab,R Y Khan,Khanpur,31.681666666667,,910,204,706,Camp,A lot,76-100%,None,None,None,None,76-100%,None,None,None,None,76-100%,None,76-100%,None,None,None,None,None,None,None,None,None
120,35,Female,28082010,Punjab,R Y Khan, R.Y.Khan  ,28.416388888889,70.299722222222,1346,374,972,Camp,A lot,76-100%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2407,40,Male,27082010,GB,Skardu,Skardu,35.298333333333,75.626666666667,,,,Camp,A lot,None,None,None,None,None,None,None,None,None,None,76-100%,None,None,None,None,None,None,None,None,None,76-100%,76-100%
2401,49,Male,27082010,GB,Skardu,Skardu,35.298333333333,75.626666666667,,,,Camp,A lot,None,None,None,None,None,None,None,None,None,None,76-100%,None,51-75%,None,None,None,None,None,None,None,76-100%,None
2403,50,Male,27082010,GB,Skardu,Skardu,35.298333333333,75.626666666667,,,,Camp,A lot,None,None,None,None,None,None,None,None,None,None,76-100%,None,76-100%,None,None,None,None,None,None,None,76-100%,None
186,30,Male,28082010,Punjab,Rajanpur, Rojhan ,28.2375,69.939722222222,277,15,262,Camp,A lot,None,None,"Don't know",None,76-100%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
169,35,Male,28082010,Punjab,Rajanpur, Rojhan ,28.2375,69.939722222222,277,15,262,Camp,A lot,None,None,None,None,51-75%,None,None,None,None,None,None,None,1-25%,None,None,None,None,None,None,None,None,None
51,22,Male,29082010,Punjab,Rajanpur,Rajanpur,29.103888888889,70.320555555556,558,111,447,Camp,A lot,None,None,None,None,76-100%,None,76-100%,None,None,None,None,None,76-100%,76-100%,None,None,None,None,None,None,None,None
54,50,Male,29082010,Punjab,Rajanpur,Rajanpur,29.103888888889,70.320555555556,558,111,447,Camp,A lot,None,None,None,None,76-100%,None,76-100%,None,None,None,None,None,76-100%,None,None,None,1-25%,None,None,None,None,None
368,25,Male,28082010,Punjab,Rajanpur,Jampur,29.6375,70.594444444444,667,93,574,Camp,A lot,None,None,None,None,76-100%,None,None,None,None,None,None,None,76-100%,None,None,None,None,None,None,None,None,None
956,40,Male,25082010,Punjab,Muzaffargarh, Jatoi ,29.509166666667,,633,73,560,Camp,A lot,None,None,None,None,76-100%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
406,56,Male,28082010,Punjab,Rajanpur,Jampur,29.6375,70.594444444444,667,93,574,Camp,A lot,None,None,None,None,76-100%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
853,48,Male,25082010,Punjab,Muzaffargarh,Kot Addu,30.459722222222,,1131,166,965,Camp,A lot,None,None,None,None,76-100%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
60,50,Male,29082010,Punjab,Rajanpur,Rajanpur,29.103888888889,70.320555555556,558,111,447,Camp,A lot,None,None,None,None,76-100%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
1005,30,Male,25082010,Punjab,Muzaffargarh, Muzaffargarh ,30.064722222222,71.189722222222,1342,194,1148,Camp,A lot,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
119,75,Male,28082010,Punjab,R Y Khan, R.Y.Khan  ,28.416388888889,70.299722222222,1346,374,972,Camp,A lot,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
416,32,Male,27082010,Punjab,DG Khan, Taunsa ,,70.6425,486,53,433,Camp,A lot,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
710,30,Male,27082010,Punjab,Layyah,Layyah,30.960555555556,70.9425,804,143,661,Camp,A lot,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
708,42,Male,27082010,Punjab,Layyah,Layyah,30.960555555556,70.9425,804,143,661,Camp,A lot,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
1939,20,Male,29082010,Sindh,Kashmore,Not in list,,,,,,Camp,A lot,Not Aplicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,None,None,None,None,None
996,35,Male,4092010,Punjab,Muzaffargarh, Muzaffargarh ,30.064722222222,71.189722222222,1342,194,1148,Camp,A lot,Not Aplicable,None,Not applicable,None,Not applicable,None,Not applicable,None,Not applicable,None,Not applicable,None,76-100%,None,Not applicable,None,Not applicable,None,None,Not applicable,None,Not applicable
1829,36,Male,13092007,Sindh,Shikar Pur,Not in list,,,,,,Camp,A lot,76-100%,None,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,51-75%,1-25%,76-100%,None,Not applicable,Not applicable,Not applicable,"Don't know","Don't know",Not applicable
994,65,Male,4092010,Punjab,Muzaffargarh, Muzaffargarh ,30.064722222222,71.189722222222,1342,194,1148,Camp,A lot,Not Aplicable,None,76-100%,None,76-100%,None,Not applicable,None,Not applicable,None,76-100%,None,76-100%,None,Not applicable,None,Not applicable,None,Not applicable,None,Not applicable,None
998,20,Male,4092010,Punjab,Muzaffargarh, Muzaffargarh ,30.064722222222,71.189722222222,1342,194,1148,Camp,A lot,Not Aplicable,None,76-100%,None,76-100%,None,Not applicable,None,Not applicable,None,Not applicable,None,Not applicable,None,Not applicable,None,Not applicable,None,Not applicable,None,Not applicable,None
997,35,Male,4092010,Punjab,Muzaffargarh, Muzaffargarh ,30.064722222222,71.189722222222,1342,194,1148,Camp,A lot,Not Aplicable,None,76-100%,None,76-100%,None,Not applicable,None,Not applicable,None,Not applicable,None,Not applicable,None,Not applicable,None,Not applicable,None,Not applicable,None,Not applicable,None
992,38,Male,3092010,Punjab,Muzaffargarh, Muzaffargarh ,30.064722222222,71.189722222222,1342,194,1148,Camp,A lot,Not Aplicable,None,Not applicable,None,76-100%,None,Not applicable,None,Not applicable,None,76-100%,None,76-100%,None,Not applicable,None,Not applicable,None,Not applicable,None,Not applicable,None
995,60,Male,3092010,Punjab,Muzaffargarh, Muzaffargarh ,30.064722222222,71.189722222222,1342,194,1148,Camp,A lot,Not Aplicable,None,Not applicable,None,76-100%,None,Not applicable,None,Not applicable,None,76-100%,None,None,76-100%,76-100%,None,76-100%,None,Not applicable,None,Not applicable,None
993,45,Male,4092010,Punjab,Muzaffargarh, Muzaffargarh ,30.064722222222,71.189722222222,1342,194,1148,Camp,A lot,Not Aplicable,Not applicable,Not applicable,Not applicable,76-100%,None,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,76-100%,None,Not applicable,None,Not applicable,None,Not applicable,None,Not applicable,None
991,45,Male,3092010,Punjab,Muzaffargarh, Muzaffargarh ,30.064722222222,71.189722222222,1342,194,1148,Camp,A lot,Not Aplicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,76-100%,None,None,None,Not applicable,None,Not applicable,None,Not applicable,None
1952,40,Male,29082010,Sindh,Kashmore,Not in list,,,,,,Camp,A lot,1-25%,None,1-25%,None,76-100%,76-100%,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,76-100%,76-100%,None,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
274,45,Male,25082010,Punjab,Muzaffargarh, Muzaffargarh ,30.064722222222,71.189722222222,1342,194,1148,Camp,A lot,76-100%,1-25%,Not applicable,Not applicable,Not applicable,1-25%,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,76-100%,None,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
1766,49,Male,31082010,Sindh,Larkana,Not in list,,,,,,Camp,A lot,76-100%,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
279,66,Male,25082010,Punjab,Muzaffargarh,Kot Addu,30.459722222222,,1131,166,965,Camp,A lot,76-100%,None,Not applicable,Not applicable,26-50%,51-75%,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,76-100%,None,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
11,65,Male,29082010,Punjab,Rajanpur,Jampur,29.6375,70.594444444444,667,93,574,Camp,A lot,76-100%,None,Not applicable,Not applicable,76-100%,None,51-75%,1-25%,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
29,70,Male,29082010,Punjab,Rajanpur,Rajanpur,29.103888888889,70.320555555556,558,111,447,Camp,A lot,76-100%,None,Not applicable,Not applicable,76-100%,None,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
1999,25,Male,29082010,Sindh,Larkana,Not in list,,,,,,Camp,A lot,76-100%,None,Not applicable,Not applicable,Not applicable,"Don't know",Not applicable,Not applicable,Not applicable,Not applicable,"Don't know",Not applicable,"Don't know",Not applicable,"Don't know","Don't know",Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
839,52,Male,25082010,Punjab,Muzaffargarh,Kot Addu,30.459722222222,,1131,166,965,Camp,A lot,76-100%,None,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,76-100%,None,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
277,55,Male,25082010,Punjab,Muzaffargarh,Kot Addu,30.459722222222,,1131,166,965,Camp,A lot,76-100%,None,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,76-100%,None,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
836,61,Male,25082010,Punjab,Muzaffargarh,Kot Addu,30.459722222222,,1131,166,965,Camp,A lot,76-100%,None,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,76-100%,None,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
841,65,Male,25082010,Punjab,Muzaffargarh,Kot Addu,30.459722222222,,1131,166,965,Camp,A lot,76-100%,None,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
1996,40,Male,29082010,Sindh,Larkana,Not in list,,,,,,Camp,A lot,76-100%,None,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
1767,34,Male,31082010,Sindh,Larkana,Not in list,,,,,,Camp,A lot,76-100%,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
1835,51,Male,13092007,Sindh,Shikar Pur,Shikarpur,27.961666666667,68.6425,154877,,,Camp,A lot,"Don't know",None,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,51-75%,1-25%,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
878,32,Male,26082010,Punjab,Muzaffargarh, Jatoi ,29.509166666667,,633,73,560,Camp,A lot,None,None,None,None,76-100%,None,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,76-100%,None,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
495,26,Male,27082010,Punjab,DG Khan, D.G.Khan ,,,1613,262,1351,Camp,A lot,Not Aplicable,Not applicable,76-100%,None,76-100%,None,26-50%,26-50%,Not applicable,Not applicable,1-25%,None,26-50%,26-50%,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
497,43,Male,27082010,Punjab,DG Khan, D.G.Khan ,,,1613,262,1351,Camp,A lot,Not Aplicable,Not applicable,76-100%,None,76-100%,None,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,76-100%,None,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
1932,45,Male,30082010,Sindh,Sukkur,Not in list,,,,,,Camp,A lot,Not Aplicable,Not applicable,Not applicable,Not applicable,76-100%,None,76-100%,None,Not applicable,Not applicable,76-100%,None,76-100%,None,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
817,40,Male,25082010,Punjab,Multan, Multan Distt. ,30.189166666667,71.457777777778,1802,4060,1704,Camp,A lot,Not Aplicable,Not applicable,Not applicable,Not applicable,76-100%,None,Not applicable,Not applicable,Not applicable,Not applicable,76-100%,None,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
877,48,Male,26082010,Punjab,Muzaffargarh, Jatoi ,29.509166666667,,633,73,560,Camp,A lot,Not Aplicable,Not applicable,Not applicable,Not applicable,76-100%,None,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,76-100%,None,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
985,45,Male,26082010,Punjab,Muzaffargarh, Muzaffargarh ,30.064722222222,71.189722222222,1342,194,1148,Camp,A lot,Not Aplicable,Not applicable,Not applicable,Not applicable,76-100%,None,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,76-100%,None,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
296,65,Male,27082010,Punjab,Muzaffargarh, Muzaffargarh ,30.064722222222,71.189722222222,1342,194,1148,Camp,A lot,Not Aplicable,Not applicable,Not applicable,Not applicable,76-100%,None,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,76-100%,None,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
433,30,Male,27082010,Punjab,Rajanpur,Jampur,29.6375,70.594444444444,667,93,574,Camp,A lot,Not Aplicable,Not applicable,Not applicable,Not applicable,76-100%,None,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,76-100%,None,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
447,30,Male,27082010,Punjab,Rajanpur,Jampur,29.6375,70.594444444444,667,93,574,Camp,A lot,Not Aplicable,Not applicable,Not applicable,Not applicable,76-100%,None,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,76-100%,None,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
496,28,Male,27082010,Punjab,DG Khan, D.G.Khan ,,,1613,262,1351,Camp,A lot,Not Aplicable,Not applicable,Not applicable,Not applicable,76-100%,None,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
982,20,Male,25082010,Punjab,Muzaffargarh, Muzaffargarh ,30.064722222222,71.189722222222,1342,194,1148,Camp,A lot,Not Aplicable,Not applicable,Not applicable,Not applicable,76-100%,None,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
1778,45,Male,31082010,Sindh,Kamber,Not in list,,,,,,Camp,A lot,Not Aplicable,Not applicable,Not applicable,Not applicable,76-100%,None,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
2217,43,Male,28082010,Sindh,Sukkur,Not in list,,,,,,Camp,A lot,Not Aplicable,Not applicable,Not applicable,Not applicable,76-100%,None,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
339,45,Male,27082010,Punjab,Mianwali,Piplan,,,339,92,247,Camp,A lot,Not Aplicable,Not applicable,Not applicable,Not applicable,76-100%,None,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
989,17,Male,4092010,Punjab,Muzaffargarh, Muzaffargarh ,30.064722222222,71.189722222222,1342,194,1148,Camp,A lot,Not Aplicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,76-100%,None,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
283,67,Male,25082010,Punjab,Muzaffargarh,Kot Addu,30.459722222222,,1131,166,965,Camp,A lot,Not Aplicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,76-100%,None,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
1937,55,Male,29082010,Sindh,Kashmore,Not in list,,,,,,Camp,A lot,Not Aplicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,76-100%,None,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable
